2025-12-02,181.4600
2025-12-03,179.5900
2025-12-04,183.3800
2025-12-05,182.4100
2025-12-08,185.5500
2025-12-09,184.9700
2025-12-10,183.7800
2025-12-11,180.9300
2025-12-12,175.0200
2025-12-15,176.2900
2025-12-16,177.7200
2025-12-17,170.9400
2025-12-18,174.1400
2025-12-19,180.9900
2025-12-22,183.6900
2025-12-23,189.2100
2025-12-24,188.6100
2025-12-26,190.5300
2025-12-29,188.2200
2025-12-30,187.5400
2025-12-31,186.5000
2026-01-02,188.8500
2026-01-05,188.1200
2026-01-06,187.2400
2026-01-07,189.1100
2026-01-08,185.0400
2026-01-09,184.8600
2026-01-12,184.9400
2026-01-13,185.8100
2026-01-14,183.1400
2026-01-15,187.0500
2026-01-16,186.2300
2026-01-20,178.0700
2026-01-21,183.3200
2026-01-22,184.8400
2026-01-23,187.6700
2026-01-26,186.4700
2026-01-27,188.5200
2026-01-28,191.5200
2026-01-29,192.5100
2026-01-30,191.1300
2026-02-02,185.6100
2026-02-03,180.3400
2026-02-04,174.1900
2026-02-05,171.8800
2026-02-06,185.4100
2026-02-09,190.0400
2026-02-10,188.5400
2026-02-11,190.0500
2026-02-12,186.9400
2026-02-13,182.8100
2026-02-17,184.9700
2026-02-18,187.9800
2026-02-19,187.9000
2026-02-20,189.8200
2026-02-23,191.5500
2026-02-24,192.8500
2026-02-25,195.5600
2026-02-26,184.8900
2026-02-27,177.1900
2026-03-02,182.4800
2026-03-03,180.0500
2026-03-04,183.0400
2026-03-05,183.3400
2026-03-06,177.8200
2026-03-09,182.6500
2026-03-10,184.7700
2026-03-11,186.0300
2026-03-12,183.1400
2026-03-13,180.2500
2026-03-16,183.2200
2026-03-17,181.9300
2026-03-18,180.4000
2026-03-19,178.5600
2026-03-20,172.7000
2026-03-23,175.6400
2026-03-24,175.2000
2026-03-25,178.6800
2026-03-26,171.2400
2026-03-27,167.5200
2026-03-30,165.1700
2026-03-31,174.4000
2026-04-01,175.7500
2026-04-02,177.3900
2026-04-06,177.6400
2026-04-07,178.1000
2026-04-08,182.0800
2026-04-09,183.9100
2026-04-10,188.6300
2026-04-13,189.3100
2026-04-14,196.5100
2026-04-15,198.8700
2026-04-16,198.3500
2026-04-17,201.6800
2026-04-20,202.0600
2026-04-21,199.8800
2026-04-22,202.5000
2026-04-23,199.6400
2026-04-24,208.2700
2026-04-27,216.6100
