2025-12-02,234.4200
2025-12-03,232.3800
2025-12-04,229.1100
2025-12-05,229.5300
2025-12-08,226.8900
2025-12-09,227.9200
2025-12-10,231.7800
2025-12-11,230.2800
2025-12-12,226.1900
2025-12-15,222.5400
2025-12-16,222.5600
2025-12-17,221.2700
2025-12-18,226.7600
2025-12-19,227.3500
2025-12-22,228.4300
2025-12-23,232.1400
2025-12-24,232.3800
2025-12-26,232.5200
2025-12-29,232.0700
2025-12-30,232.5300
2025-12-31,230.8200
2026-01-02,226.5000
2026-01-05,233.0600
2026-01-06,240.9300
2026-01-07,241.5600
2026-01-08,246.2900
2026-01-09,247.3800
2026-01-12,246.4700
2026-01-13,242.6000
2026-01-14,236.6500
2026-01-15,238.1800
2026-01-16,239.1200
2026-01-20,231.0000
2026-01-21,231.3100
2026-01-22,234.3400
2026-01-23,239.1600
2026-01-26,238.4200
2026-01-27,244.6800
2026-01-28,243.0100
2026-01-29,241.7300
2026-01-30,239.3000
2026-02-02,242.9600
2026-02-03,238.6200
2026-02-04,232.9900
2026-02-05,222.6900
2026-02-06,210.3200
2026-02-09,208.7200
2026-02-10,206.9600
2026-02-11,204.0800
2026-02-12,199.6000
2026-02-13,198.7900
2026-02-17,201.1500
2026-02-18,204.7900
2026-02-19,204.8600
2026-02-20,210.1100
2026-02-23,205.2700
2026-02-24,208.5600
2026-02-25,210.6400
2026-02-26,207.9200
2026-02-27,210.0000
2026-03-02,208.3900
2026-03-03,208.7300
2026-03-04,216.8200
2026-03-05,218.9400
2026-03-06,213.2100
2026-03-09,213.4900
2026-03-10,214.3300
2026-03-11,212.6500
2026-03-12,209.5300
2026-03-13,207.6700
2026-03-16,211.7400
2026-03-17,215.2000
2026-03-18,209.8700
2026-03-19,208.7600
2026-03-20,205.3700
2026-03-23,210.1400
2026-03-24,207.2400
2026-03-25,211.7100
2026-03-26,207.5400
2026-03-27,199.3400
2026-03-30,200.9500
2026-03-31,208.2700
2026-04-01,210.5700
2026-04-02,209.7700
2026-04-06,212.7900
2026-04-07,213.7700
2026-04-08,221.2500
2026-04-09,233.6500
2026-04-10,238.3800
2026-04-13,239.8900
2026-04-14,249.0200
2026-04-15,248.5000
2026-04-16,249.7000
2026-04-17,250.5600
2026-04-20,248.2800
2026-04-21,249.9100
2026-04-22,255.3600
2026-04-23,255.0800
2026-04-24,263.9900
2026-04-27,261.1200
