2025-12-02,322.8100
2025-12-03,326.7800
2025-12-04,328.7300
2025-12-05,346.2600
2025-12-08,339.1200
2025-12-09,344.3200
2025-12-10,343.1300
2025-12-11,350.4300
2025-12-12,356.4300
2025-12-15,351.1500
2025-12-16,347.8900
2025-12-17,354.6600
2025-12-18,355.8100
2025-12-19,355.8600
2025-12-22,357.5300
2025-12-23,352.4200
2025-12-24,352.9800
2025-12-26,353.8000
2025-12-29,353.1600
2025-12-30,352.5100
2025-12-31,349.9900
2026-01-02,333.3000
2026-01-05,331.5600
2026-01-06,335.9900
2026-01-07,338.1000
2026-01-08,339.0400
2026-01-09,333.9500
2026-01-12,327.6500
2026-01-13,309.9300
2026-01-14,304.4400
2026-01-15,304.0900
2026-01-16,296.1200
2026-01-20,290.3700
2026-01-21,294.2300
2026-01-22,299.7300
2026-01-23,301.0700
2026-01-26,304.7200
2026-01-27,297.4200
2026-01-28,299.5800
2026-01-29,291.6500
2026-01-30,293.2500
2026-02-02,293.3800
2026-02-03,271.9300
2026-02-04,279.7100
2026-02-05,269.3900
2026-02-06,268.3800
2026-02-09,266.9000
2026-02-10,264.6700
2026-02-11,257.1600
2026-02-12,262.5000
2026-02-13,263.9700
2026-02-17,260.4500
2026-02-18,263.1700
2026-02-19,259.2100
2026-02-20,258.6100
2026-02-23,246.6800
2026-02-24,255.1700
2026-02-25,257.8100
2026-02-26,259.0400
2026-02-27,262.4100
2026-03-02,260.8800
2026-03-03,270.9900
2026-03-04,273.1200
2026-03-05,281.7400
2026-03-06,283.6200
2026-03-09,282.4400
2026-03-10,275.1300
2026-03-11,273.7050
2026-03-12,269.7800
2026-03-13,249.3200
2026-03-16,251.8600
2026-03-17,254.2000
2026-03-18,246.0000
2026-03-19,245.9900
2026-03-20,248.1500
2026-03-23,247.6400
2026-03-24,238.8700
2026-03-25,237.2500
2026-03-26,240.8800
2026-03-27,234.8400
2026-03-30,241.1300
2026-03-31,243.0800
2026-04-01,241.3700
2026-04-02,242.9200
2026-04-06,244.3550
2026-04-07,240.1400
2026-04-08,239.3100
2026-04-09,229.9400
2026-04-10,225.3500
2026-04-13,240.1100
2026-04-14,235.7200
2026-04-15,244.6600
2026-04-16,248.1550
2026-04-17,244.4500
2026-04-20,248.6300
2026-04-21,247.1800
2026-04-22,255.9400
2026-04-23,238.9800
2026-04-24,245.4400
2026-04-27,239.3100
